s,t,x,y
"[(3, 2)]",2732.0,"[[200.8353496073582, 202.8896558532007]]","[[341.98912653958655, 171.95568029694195]]"
"[(3, 2)]",2732.1,"[[200.86111725797826, 202.91783140836097]]","[[342.0157434403096, 171.92739990206522]]"
"[(3, 2)]",2732.2,"[[200.86328879419386, 202.9462138415079]]","[[342.0479471902178, 171.8988094756552]]"
"[(3, 2)]",2732.3,"[[200.89639618695807, 202.96458582325624]]","[[342.0752269454772, 171.86848931969425]]"
"[(4, 2)]",2732.4,"[[202.75436655372954, 200.78240590935783]]","[[171.80722359384293, 342.1268749065025]]"
"[(4, 2)]",2732.5,"[[202.76653691264622, 200.20645448476213]]","[[171.77671741590012, 342.25063144352845]]"
"[(4, 2)]",2732.6,"[[202.26905262180014, 200.2306980170887]]","[[171.682330062267, 342.27686073634464]]"
"[(4, 2)]",2732.7,"[[202.29076999321995, 200.25238813272793]]","[[171.6549092411644, 342.3038206114105]]"
"[(3, 2)]",2732.8,"[[202.31564872089749, 200.2766328097718]]","[[171.62753400701956, 342.3307320973129]]"
"[(3, 2)]",2732.9,"[[202.34074766017636, 200.3012756390335]]","[[171.59984018406962, 342.3579260799839]]"
"[(3, 2)]",2733.0,"[[202.3659095073276, 200.23063792156222]]","[[171.57181405764004, 342.3984003323137]]"
"[(3, 2)]",2733.1,"[[202.30104655802114, 200.2584044710542]]","[[171.53418182743826, 342.4254452904873]]"
"[(3, 2)]",2733.2,"[[202.32966308697155, 200.28641908827458]]","[[171.50620973933042, 342.4528174804344]]"
"[(3, 2)]",2733.3,"[[202.35853663489974, 200.313490969363]]","[[171.47790413289735, 342.480661147675]]"
"[(3, 2)]",2733.4,"[[202.31534230256835, 200.2739291315869]]","[[171.44270732021639, 342.51679443761896]]"
"[(3, 2)]",2733.5,"[[201.91380620108947, 199.901019656259]]","[[171.37615556079618, 342.59172778472765]]"
"[(3, 2)]",2733.6,"[[201.92279673598503, 199.9099895646653]]","[[171.34726249100288, 342.6206148635064]]"
